cohort,block_lo,block_hi,n_fills,n_makers,n_takers,self_match_fills,taker_orders_fee_paying_share,maker_hhi_notional,maker_top10_notional_share,maker_top10_fill_share,ordersize_median_nofee,ordersize_geomean_nofee,ordersize_median_fee,ordersize_geomean_fee,roundtrip_share_nofee,roundtrip_share_fee,fee_pct_decile1_smallest,fee_pct_decile10_largest,n_builders,builder_notional_hhi
1,88080000,88843826,84343189,441070,414678,0,0.9609947354544057,0.004107823665488146,0.14660950954910779,0.0197447626818495,8.33,7.69987227789531,4.95,5.6468223079371445,0.10023787857806968,0.09946299682997008,2.9965439974231423,1.1489832486102165,1446,0.7969782611961445
2,88844000,89607826,83171672,438304,414266,0,0.9799395734902583,0.005346622237188025,0.1773721859642979,0.026865537108938617,7.482,6.644189437128978,4.997,5.971217679630875,0.16292448236610527,0.09922152076359954,3.0777372198668025,1.1867090522773582,1373,0.7390267306076748
3,89608000,90371826,77032614,389265,363782,0,0.9857921117035146,0.006135846811418606,0.17525869380865503,0.02220306695596214,5.039998,5.303974877474327,4.9,5.607779296636068,0.1827561693412078,0.09994941926371945,3.275064298966357,1.5164984576836955,1321,0.7404346279313457
4,90372000,91135826,65029956,325431,303226,0,0.9837622929628349,0.0059999830092547154,0.17013424065465668,0.020370108075767494,4.99,5.252478462759933,4.6299765,4.175319711763805,0.11949132828452531,0.0856183193080131,3.5964723834516295,1.6616205839894111,1215,0.7645160922430551
5,91136000,91899826,58891075,213669,188803,0,0.9854480285392535,0.006162606201460785,0.17704248438114156,0.029647266655694855,6.68665,6.9715508556391335,4.1,3.0028222162340508,0.06441279571042877,0.0830805270390324,4.180378762948283,1.6387630915530416,1169,0.8096475162774948
6,91900000,92995000,83734986,238506,220496,0,0.989726226929731,0.00545724186943227,0.173154115419064,0.06417574542495483,4.995,2.3914171305395047,3.999999,2.40767095243003,0.06608567145389693,0.08083965927986006,4.218574505343361,1.6803187485207305,1180,0.801005042189631
